printer,c_bluetooth,c_ethernet,c_usb,c_walk_up,c_wifi,duty_cycle_max,duty_cycle_normal,f_copy,f_fax,f_print,f_scan,mfg_model_number,mfg_model_name,o_adf_capacity,o_borderless,o_duplex,o_duplex_scan,o_staple,o_touchscreen,papersize_max,papersize_supported,ppm_color,ppm_mono,print_technology,available
1216,,,,,,,,,,,,40G0740,Lexmark M5170 Mono SFP,,,,,,,,,,,,True
1327,,,,,,,,,,,,35S5705,Lexmark XM1145 Mono MFP,,,,,,,,,,,,True
1330,,,,,,,,,,,,35S6830,Lexmark XM3150 Mono MFP,,,,,,,,,,,,True
1334,,,,,,,,,,,,24T9400,Lexmark XM5263 Mono MFP,,,,,,,,,,,,True
1312,,,,,,,,,,,,28E0600,Lexmark XC2132 Color MFP,,,,,,,,,,,,True
1214,,,,,,,,,,,,40G0720,Lexmark M5155 Mono SFP,,,,,,,,,,,,True
1149,,,,,,,,,,,,42C0008,Lexmark C2240 Color SFP,,,,,,,,,,,,True
1151,,,,,,,,,,,,40C9054,Lexmark C4150 Color SFP,,,,,,,,,,,,True
1161,,,,,,,,,,,,21K0300,Lexmark C6160 Color SFP,,,,,,,,,,,,True
1210,,,,,,,,,,,,36S0240,Lexmark M1242 Mono SFP,,,,,,,,,,,,True
1211,,,,,,,,,,,,36S0320,Lexmark M1246 Mono SFP,,,,,,,,,,,,True
1213,,,,,,,,,,,,36S0520,Lexmark M3250 Mono SFP,,,,,,,,,,,,True
1217,,,,,,,,,,,,50G0720,Lexmark M5255 Mono SFP,,,,,,,,,,,,True
1218,,,,,,,,,,,,50G0740,Lexmark M5270 Mono SFP,,,,,,,,,,,,True
1313,,,,,,,,,,,,42C7306,Lexmark XC2235 Color MFP,,,,,,,,,,,,True
1315,,,,,,,,,,,,40C9720,Lexmark XC4140 Color MFP,,,,,,,,,,,,True
1316,,,,,,,,,,,,40C9611,Lexmark XC4150 Color MFP,,,,,,,,,,,,True
1317,,,,,,,,,,,,42C7808,Lexmark XC4240 Color MFP,,,,,,,,,,,,True
1318,,,,,,,,,,,,42K1212,Lexmark XC6152 Color MFP,,,,,,,,,,,,True
1319,,,,,,,,,,,,42K1241,Lexmark XC8155 Color MFP,,,,,,,,,,,,True
1320,,,,,,,,,,,,42K1271,Lexmark XC8160 Color MFP,,,,,,,,,,,,True
1328,,,,,,,,,,,,36S0740,Lexmark XM1242 Mono MFP,,,,,,,,,,,,True
1329,,,,,,,,,,,,36S0860,Lexmark XM1246 Mono MFP,,,,,,,,,,,,True
1331,,,,,,,,,,,,36S0940,Lexmark XM3250 Mono MFP,,,,,,,,,,,,True
1335,,,,,,,,,,,,24T9401,Lexmark XM5270 Mono MFP,,,,,,,,,,,,True
